reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
24/01205/COU,Change of use of existing C3 dwelling into 2 no. self-contained apartments (C3),2024-08-23,local-authority:DNC,,,,
24/01206/LBC,Listed building consent for removal of existing roof coverings and demolition of west chimney and west gable end. Rebuild chimney and gable end like-for-like. Addition of suitable roof membrane and re-tiling predominantly with existing tiles,2024-10-25,local-authority:DNC,,,,
24/01209/REM,"Details of layout, scale, appearance and landscaping for the erection of a detached dwelling and garage (Being matters reserved in outline application 21/02403/OUT granted 10/01/2023) (being variation of condition 1 of planning application 23/00806/REM; approved plans)",2024-08-07,local-authority:DNC,,,,
24/01212/FUL,Erection of detached dwelling,2024-08-19,local-authority:DNC,,,,
24/01218/ADV,"Display of fascia sign, FACM aluminium frame with ACM printed graphics x 6 frames, frosted vinyl applied to window Manifestation and aluminium lockable Poster cases x 4 signs.",2024-08-12,local-authority:DNC,,,,
24/01219/FUL,"Erection of ground floor rear extension, the addition of a porch to the front elevation and roof to be replaced with attic trusses to form rooms in the roof.  Also tarmac front drive and to build a garden shed in the garden to the rear.",2024-08-07,local-authority:DNC,,,,
24/01222/FUL,Installation of dropped kerb to the front of the property.,2024-09-24,local-authority:DNC,,,,
24/01225/FUL,"Retrospective application for click and collect parking and double canopy above finished in Red RAL 3020, with galvanized steel post for support and 17 x new bollards",2024-09-20,local-authority:DNC,,,,
24/01227/FUL,Erection of single storey extension to the rear,2024-08-12,local-authority:DNC,,,,
24/01232/TPO,"Application to undertake various pruning as described in the application on various trees within G5, G6, G7,G8, G9 and T28 - 35 all within Doncaster Borough Council Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Ave.",2024-07-22,local-authority:DNC,,,,
24/01234/ADV,Display of various illuminated and non illuminated signs.,2024-10-30,local-authority:DNC,,,,
24/01235/FUL,Erection of a timber gazebo within the garden area.,2024-08-19,local-authority:DNC,,,,
24/01240/ADV,"Display of 2 fascia signs, 1 Pole sign facility panel replacement 6 . window decals 1 No. sign board 1 No. poster board",2024-08-16,local-authority:DNC,,,,
24/01241/FUL,Erection of two storey side/ground floor extensions and formation of rooms in the roof space by raising the eaves and ridge,2024-09-12,local-authority:DNC,,,,
24/01247/FUL,Erection of single storey extension to side following demolition existing garage/utility room.,2024-08-08,local-authority:DNC,,,,
24/01248/OUT,"Outline application for the erection of 7 dwellings with associated parking and amenity space (Approval sought for Access, Layout and Scale)",2024-11-29,local-authority:DNC,,,,
24/01249/FUL,Erection of single storey extensions to the side and rear with internal alterations.,2024-08-08,local-authority:DNC,,,,
24/01250/FUL,"Erection of single storey rear extension and new roof over attached garage. 
",2024-08-19,local-authority:DNC,,,,
24/01258/FUL,Conversion of former laundry room into a 1 bedroom self contained dwelling,2024-09-06,local-authority:DNC,,,,
24/01266/FUL,"Replacement of existing flat roof to side and rear of bungalow with pitched roof to match existing, and installation of 3 additional windows",2024-08-19,local-authority:DNC,,,,
24/01273/FUL,Erection of single storey side extension to form bedroom and en-suite,2024-08-19,local-authority:DNC,,,,
24/01275/FUL,"Erection of single/two storey side extensions , rebuilding of the front porch, erection of a rear single storey extension and a new pitched roof to the existing single storey rear extension.",2024-08-19,local-authority:DNC,,,,
24/01280/FUL,"Amended - Erection of a first floor extension to the rear (Being a re-submission of 23/00415/FUL, granted on 01.08.2023).",2024-09-04,local-authority:DNC,,,,
24/01283/ADV,Display of internally illuminated and non-illuminated Toyota new brand signage to replace the existing brand signage.,2024-09-02,local-authority:DNC,,,,
24/01291/FUL,Erection of first floor extension above existing side extension including installation of new door and window to replace garage door,2024-09-09,local-authority:DNC,,,,
24/01294/3FUL,Erection of a single storey rear extension containing living / dining space and conversion of existing lounge into two bedrooms,2024-08-14,local-authority:DNC,,,,
24/01295/3FUL,Erection of a single storey rear extension containing a new bedroom and adjoining shower room.,2024-08-29,local-authority:DNC,,,,
24/01304/FUL,Change of use of part of the existing food warehouse to ancillary retail shop,2024-09-06,local-authority:DNC,,,,
24/01306/FUL,Erection of an extension to garden room and alteration of existing dormer with creation of balcony.,2024-09-02,local-authority:DNC,,,,
24/01307/LBC,Listed Building Consent for thermal upgrade to existing building fabric,2024-09-13,local-authority:DNC,,,,
24/01310/FUL,"Installation of eight electric vehicle charging parking spaces and associated infrastructure comprising of seven charger pillars, one feeder pillar, one power bank, one substation, bollards and 3 no. new lampposts",2024-09-19,local-authority:DNC,,,,
24/01314/TPO,"Planning application to undertake tree works on a Yew Tree, protected under Doncaster Borough Council Tree Preservation Order (No.368) 2014 Orchard End, Sunderland Street, Tickhill.  

T10 - T15 - Crown lift to 3m all around and remove base and stem epicormic growth to 3m on all 5 trees.",2024-09-09,local-authority:DNC,,,,
24/01325/FUL,"Erection of two storey side/rear extension, detached garage and detached annex/outbuilding, following demolition of existing detached garage",2024-08-22,local-authority:DNC,,,,
24/01331/FUL,Erection of single storey front and rear extensions and a first floor extension to the side,2024-08-22,local-authority:DNC,,,,
24/01332/FUL,"Erection of a single storey rear extension, pitched roof over existing garage and porch and internal alterations with loft conversion.",2024-09-02,local-authority:DNC,,,,
24/01335/FUL,Erection of an extension to the rear of the garage and conversion of garage into annexe with an ensuite and bedroom,2024-09-16,local-authority:DNC,,,,
24/01337/FUL,Erection of ground floor extension and alterations to the rear of existing retail premises,2024-09-30,local-authority:DNC,,,,
24/01340/FUL,Erection of a single storey flat roof extension to the rear. Internal alterations and the installation of a log burner flue and solar panels to the south side elevation roof slope.,2024-09-09,local-authority:DNC,,,,
24/01344/FUL,"Erection of a single storey rear extension, which includes alterations to the existing outbuilding in the form of raising of the roof height and walls. Removal of internal walls to form an open plan kitchen/sun lounge.",2024-09-02,local-authority:DNC,,,,
24/01345/FUL,"Erection of stone canopy and corbel supports to the front elevation. External re-pointing and re-painting of the windows and the installation of a new metal railings fence/gate, following demolition of the front porch within a Conservation Area.",2024-10-25,local-authority:DNC,,,,
24/01346/FUL,"Erection of a flat roof single storey attached Entrance Porch/Workshop/Garage/Garden Room extension to the side, to replace the existing garage.",2024-08-22,local-authority:DNC,,,,
24/01348/FUL,Erection of single storey extension to the rear and garage conversion.,2024-09-09,local-authority:DNC,,,,
24/01349/FUL,Erection of new porch and single storey extension to the front following the demolition of existing garage (being re-submission of previously granted 23/00992/FUL).,2024-08-23,local-authority:DNC,,,,
24/01355/FUL,Erection of replacement dwelling following demolition of existing dwelling,2024-11-14,local-authority:DNC,,,,
24/01356/FUL,"Raising of existing roof heights, installation of dormer windows to existing side extension, and installation of new windows and doors along with refurbishment of existing external materials.",2024-08-30,local-authority:DNC,,,,
24/01358/PRIOR,Notification to determine if prior approval is required for change of use of ground floor shop to 1 no. self-contained flat (C3),2024-10-03,local-authority:DNC,,,,
24/01359/FUL,Use of unit 3 as a cafe (Class E) and installation of external extraction chimney (being amendment to condition 4 of planning application 24/00653/FUL; opening hours extended to 11pm).,2024-09-17,local-authority:DNC,,,,
24/01360/FUL,Without planning permission the change of use of existing building from Bookmakers to Beautician Salon and installation of signage to front and side elevations,2024-09-04,local-authority:DNC,,,,
24/01361/ADV,"Display of signage to front and side elevations replacing existing signage (Retrospective)
",2024-09-05,local-authority:DNC,,,,
24/01362/FUL,Partial conversion of integral garage to create additional bedroom and replacement of garage door with two windows to front elevation,2024-08-22,local-authority:DNC,,,,
24/01376/FUL,"Demolition of existing bathroom extension and outbuildings and erection of a new single storey rear extension, exterior repair/replacement works",2024-10-29,local-authority:DNC,,,,
24/01377/LBC,"Listed building consent for demolition of existing bathroom extension and outbuildings and erection of a new single storey rear extension, exterior repair/replacement works and rebuilding of yard wall and gate",2024-10-29,local-authority:DNC,,,,
24/01381/PRIOR,Notification to determine if prior approval is required for change of use of an agriculture barn to a residential dwelling (Class C3),2024-09-23,local-authority:DNC,,,,
24/01384/FUL,"Erection of  2no classroom extensions and 1no  corridor extension, demolition of an existing conservatory style staff room and formation of a temporary access from Old Lane.",2024-10-03,local-authority:DNC,,,,
24/01385/FUL,"Erection of a single storey front extension for the formation of a bay window, raising of roof and installation of dormer window to the side",2024-10-10,local-authority:DNC,,,,
24/01387/FUL,Erection of a wrap around side and rear 2 storey extension. Erection of a bay window and a porch to front and 3no pillars to kerb side.,2024-09-17,local-authority:DNC,,,,
24/01389/FUL,"Proposed loft conversion, which includes the raising of the roof height and the installation of two dual pitched roof dormer window to the rear.",2024-09-09,local-authority:DNC,,,,
24/01392/ADV,"Display of replacement signs, 1x internally illuminated Totem sign, 2x externally illuminated single sided post mounted directional signs, 1x 'V' shaped post mounted corex sign, 1x  set of internally  illuminated individual letters and 2x  written roundels",2024-08-28,local-authority:DNC,,,,
24/01394/FUL,Erection of a single storey rear extension containing a bedroom,2024-08-28,local-authority:DNC,,,,
24/01400/FUL,Erection of 2 storey side and part 2 storey and single storey rear extension following the demolition of the existing garage and rear extension.,2024-09-18,local-authority:DNC,,,,
24/01402/TPO,Application for consent for the removal of one Sycamore and one lime tree. The tree is subject to (G28) forms part of TPO DMBC/TPO/00207 - Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.,2024-09-20,local-authority:DNC,,,,
24/01405/TPO,Application to undertake minimal tip pruning work on one Sycamore (T1) at 7 Ash Court Sprotbrough Doncaster DN5 7JZ.  This Tree (T19) forms part of TPO DMBC/TPO/00207 - Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.,2024-11-20,local-authority:DNC,,,,
24/01406/FUL,Erection of a 2 storey and single storey extension to rear of property,2024-10-07,local-authority:DNC,,,,
24/01408/FUL,Erection of a single storey rear extension including a bedroom.,2024-09-09,local-authority:DNC,,,,
24/01410/FUL,Erection single storey side extension containing a bedroom and wet room.,2024-09-30,local-authority:DNC,,,,
24/01411/FUL,Erection of a two storey side extension.,2024-09-04,local-authority:DNC,,,,
24/01412/TPO,"Application to undertake various pruning as described within the application on 4 Sycamore and 3 Yew trees, all within Area 1 of Doncaster Borough Council Tree Preservation Order (No.29) 1986 Old Bawtry Road, Finningley",2024-09-09,local-authority:DNC,,,,
24/01413/TPO,Application to fell a Silver Birch identified as being within G105 of the Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.,2024-09-09,local-authority:DNC,,,,
24/01416/FUL,Erection of a two storey and single storey side extension,2024-09-19,local-authority:DNC,,,,
24/01417/FUL,Proposed raising of the roof to form living accommodation.,2024-09-24,local-authority:DNC,,,,
24/01418/FUL,"Erection of a single storey flat roof rear extension, following the demolition of the existing rear extensions and conversion of loft into a Bedroom and En-Suite with the installation of 4 x Velux roof windows. Plus, the installation of a new rear gable end window at attic floor level.",2024-09-09,local-authority:DNC,,,,
24/01425/FUL,Erection of ground floor rear extension following demolition of existing garage,2024-09-30,local-authority:DNC,,,,
24/01426/FUL,Erection of a single storey and second storey extension to rear of property (being resubmission of previously approved 24/00181/FUL).,2024-09-10,local-authority:DNC,,,,
24/01442/FUL,Proposed change of use to allow the running of a dog day care and home boarding business.,2024-10-31,local-authority:DNC,,,,
24/01456/FUL,Install windows and doors to replace existing.,2024-09-18,local-authority:DNC,,,,
24/01470/FUL,Erection of a single storey rear extension containing shower room.,2024-09-11,local-authority:DNC,,,,
24/01471/FUL,Change of use of from vacant retail (E(a) use class) to a betting shop (Sui Generis use class),2024-10-24,local-authority:DNC,,,,
24/01477/FUL,Installation of a roof to cover the existing truckwash wash bay,2024-10-09,local-authority:DNC,,,,
24/01478/FUL,"Erection of a 2 storey side extension, a single storey rear extension and front porch in red brick (Being amendment to previous permission 16/02476/FUL granted on 09/02/2017, remove the extension over the side garage and to fit a tiled roof at ground floor instead) (RETROSPECTIVE)",2024-09-12,local-authority:DNC,,,,
24/01482/FUL,Erection of a single storey porch to the front of property and single storey rear extension with internal alterations.,2024-10-04,local-authority:DNC,,,,
24/01485/FUL,"Erection of a two storey side extension, and single storey front/rear extensions following demolition of existing single storey extension",2024-10-04,local-authority:DNC,,,,
24/01487/FUL,Erection of a material storage unit 14 x 8 meters,2024-10-17,local-authority:DNC,,,,
24/01494/FUL,Erection of 3 bedroom detached house following demolition of existing dwelling,2024-10-03,local-authority:DNC,,,,
24/01499/PRIOR,Notification to determine if prior approval is required to reconfigure the first and second floor into 2no residential apartments,2024-11-08,local-authority:DNC,,,,
24/01505/FUL,Erection of a 2 storey side extension and a detached garage in the rear garden.,2024-09-24,local-authority:DNC,,,,
24/01506/FUL,"Installation of an Air Source Heat Pump (ASHP), 12kW exceeding 0.6M3 to side of property",2024-09-18,local-authority:DNC,,,,
24/01507/3COU,Change of use from residential flat to use as part of expanded wellness centre (Use Class F.2),2024-11-18,local-authority:DNC,,,,
24/01508/FUL,Erection of 3 detached dwellings (being variation of condition 2 of application 22/00958/FUL granted on 09.08.2023; Approved plans),2024-11-22,local-authority:DNC,,,,
24/01510/FUL,Erection of garden wall and sliding access gates.,2024-11-05,local-authority:DNC,,,,
24/01511/FUL,Erection of a  2 storey side extension.,2024-09-24,local-authority:DNC,,,,
24/01522/FUL,Replacement of garage door with a new bay window to front of property in association with conversion of garage into playroom,2024-09-30,local-authority:DNC,,,,
24/01523/FUL,Siting of WC block to be used in connection with stable/livery use (Retrospective),2024-09-24,local-authority:DNC,,,,
24/01529/COU,Change of Use from Dwelling-House (Class C3) to Children's Home (Class C2) for up to 4 children.,2024-10-18,local-authority:DNC,,,,
24/01532/FUL,Extension and alterations to existing buildings to form new enlarged dwelling. ( Dwelling previously approved under 23/02618/FUL),2024-11-01,local-authority:DNC,,,,
24/01533/FUL,Section 73 application to vary approved plans to conditions 2 and 3 of planning permission 21/02885/FUL (Erection of first floor front extension and raise of existing roof by 700mm to form attic rooms and enlarged bay window at front) 1. Amended Plans and Materials To Match Existing.,2024-10-01,local-authority:DNC,,,,
24/01540/COU,Change of Use from a Residential (Use Class C3) to Supported Living Accommodation for Children (Use Class C2),2024-10-02,local-authority:DNC,,,,
24/01545/FUL,Erection of single storey rear extension,2024-10-28,local-authority:DNC,,,,
24/01548/TPO,"planning application for the 1 x Birch located to the front of the property (T7) and forms part of TPO DMBC/TPO/00232 - Doncaster Borough Council Tree Preservation Order (No.232) 1998 West Wood Estate, Bawtry.",2024-10-14,local-authority:DNC,,,,
24/01549/TPO,"Planning application for various tree work within the curtilage of the Holiday Inn. This Group (G9) & T25 forms part of TPO DMBC/TPO/00210 - Doncaster Borough Council Tree Preservation Order (No.210) 1997 Moat House Hotel, Warmsworth.",2024-10-08,local-authority:DNC,,,,
24/01551/FUL,Erection of a two storey extension to the side/rear and the erection of an extension above the garage,2024-11-05,local-authority:DNC,,,,
24/01552/FUL,Erection of single storey extension to front,2024-10-09,local-authority:DNC,,,,
24/01553/FUL,Conversion of garage into habitable room and installation of tiled roof over which extends over front door,2024-09-30,local-authority:DNC,,,,
24/01557/TPO,"Application for  pruning of fibrous roots <25mm in diameter from under the driveway back to the edge of the lawn area from 2 Corsican Pine identified as being within G3 Doncaster Borough Council Tree Preservation Order (No.349) 2011 Nos. 3 and 5 Birchwood Dell, Bessacarr.",2024-10-14,local-authority:DNC,,,,
24/01558/FUL,Erection of a single storey side extension to form a new swimming pool and single storey extension to enlarge porch to front of property,2024-10-23,local-authority:DNC,,,,
24/01559/FUL,Installation of red brickwork effect (brick slips) external insulation to the dwelling house.,2024-11-07,local-authority:DNC,,,,
24/01561/FUL,Alterations and extensions to include 1. Erection of single storey side extension and porch to front. 2. Replace roof to create rooms in attic over existing to increase ridge height by 1 metre following demolition of existing rear single storey extension.  3. Erection of one and a half storey front/side extensions following demolition of garage.,2024-10-22,local-authority:DNC,,,,
24/01566/3ADV,Display of 47 number non-illuminated banner signs.,2024-10-03,local-authority:DNC,,,,
24/01569/FUL,Demolition of existing detached garage and erection of a of 2 storey side extension to the  dwelling,2024-10-14,local-authority:DNC,,,,
24/01572/FUL,Erection of a single storey garage and utility room to side of property,2024-09-30,local-authority:DNC,,,,
24/01586/FUL,Section 73 application to vary condition 3 of planning application 21/01112/FUL - to allow the temporary time restriction for use of the annexe to be extended.,2024-10-04,local-authority:DNC,,,,
24/01588/FUL,"1: Erection of single storey rear extension following demolition of existing conservatory. 2. Erection of 2 x first floor rear extensions and replace UPVC cladding to the front with timber effect cladding.

",2024-10-02,local-authority:DNC,,,,
24/01589/TPO,This application is to remove one large Ash Tree that has Ash Dieback Disease.  This is part of Area (A11) that forms part of TPO 74/16/DRDC/10 - Doncaster Rural District Council Tree Preservation Order (No.10) 1970 Norton.,2024-10-14,local-authority:DNC,,,,
24/01592/FUL,Erection of two storey side and rear extension and garden room to rear,2024-10-01,local-authority:DNC,,,,
24/01593/FUL,Erection of a first floor extension to side of property,2024-10-11,local-authority:DNC,,,,
24/01596/TPO,"Application to crown lift a Sycamore to 5.5 metres and give a 1 metre clearance of service lines and church building, also removal of deadwood, tree identified as T92  part of TPO 74/17/DRDC/11 - Doncaster Rural District Council Tree Preservation Order (No.11) 1970 Barnby Dun with Kirk Sandall.",2024-10-15,local-authority:DNC,,,,
24/01603/PRIOR,Notification to determine if prior approval is required for change of use of building from Class E to residential (Class C3),2024-10-14,local-authority:DNC,,,,
24/01606/FUL,Without planning permission the erection of fence and change of use of public open space to residential garden use.,2024-10-14,local-authority:DNC,,,,
24/01619/FUL,Erection of a 2 storey side extension to form carport at ground level and bedroom and en suite at first floor.,2024-11-15,local-authority:DNC,,,,
24/01630/TPO,"Application to crown lift to 5m, by the removal of minor branches and epicormic growth, 17 Oak trees. reduce branches back to the boundary on 4 trees, and remove to ground level tree a dead Scots Pine (exempt works as dead) all within G4 forming part of TPO DMBC/TPO/00205 - Doncaster Borough Council Tree Preservation Order (No.205) 1997 Grange Road, Bessacarr.",2024-10-14,local-authority:DNC,,,,
24/01631/FUL,Erection of a single storey and two storey side and rear extension,2024-10-17,local-authority:DNC,,,,
24/01637/FUL,"Erection of two storey rear extension, following demolition of existing conservatory in a Conservation Area. Conversion of loft and conversion of existing garage/store to store/shower room/gym and garden room.",2024-12-02,local-authority:DNC,,,,
24/01640/TPO,This application is to remove one large Ash Tree that has Ash Dieback Disease. This Area (A10) forms part of TPO 74/16/DRDC/10 - Doncaster Rural District Council Tree Preservation Order (No.10) 1970 Norton,2024-10-14,local-authority:DNC,,,,
24/01644/FUL,"Change of use of existing ground floor offices and stores into 3 separate apartments, including changes to the existing rear extension. New flat roof with parapet upstand and new window opening locations. New render to existing brickwork",2024-10-31,local-authority:DNC,,,,
24/01645/FUL,Erection of part two storey/part single storey side/rear extension and single storey rear extension following demolition of existing coal house/shed,2024-11-06,local-authority:DNC,,,,
24/01646/TPO,"Application to undertake various works on trees within W1  of DMBC/TPO/00198 - Doncaster Borough Council Tree Preservation Order (No.198) 1998 St. Wilfrid's Church and Vicarage, Cantley indicated within the application, namely. 699, Poplar - Reduce to 8m pollards.
662, Elm - Coppice, G1, 2x Sycamore - fell to ground level, G3 - 2x Sycamore - Reduce to 4m high deadwood snags.  (other works requested exempt from need to give consent)",2024-10-14,local-authority:DNC,,,,
24/01647/ADV,Display of fascia signage and projecting sign.,2024-12-03,local-authority:DNC,,,,
24/01656/FUL,Erection of two storey side extension,2024-10-07,local-authority:DNC,,,,
24/01657/FUL,Insulation of the front external wall of the house and light grey rendering.,2024-11-06,local-authority:DNC,,,,
24/01662/FUL,Erection of a two-storey side extension with integral garage and a single storey rear extension,2024-10-07,local-authority:DNC,,,,
24/01663/FUL,"Demolition of existing outbuildings and erection of new rear and side extensions, with new parking and hard and soft landscaping",2024-11-21,local-authority:DNC,,,,
24/01677/FUL,Installation of 1no additional AC condenser unit to rear elevation.,2024-11-12,local-authority:DNC,,,,
24/01679/FUL,"Installation of double-vehicle dropped kerb in front of house, to allow for vehicle parking and home charging for electric vehicle",2024-12-19,local-authority:DNC,,,,
24/01683/ADV,Installation of 10m Morrisons totem pole sign,2024-10-31,local-authority:DNC,,,,
24/01688/ADV,Display of fascia sign to front elevation.,2024-11-01,local-authority:DNC,,,,
24/01689/TPO,"Application to undertake pruning on an Oak (listed as T2 on the application), identified as being within A8 of Doncaster Rural District Council Tree Preservation Order (No.16) 1971 Auckley.  (T1 - Cedar is not within the TPO and does not require consent from the council prior to removal)",2024-10-14,local-authority:DNC,,,,
24/01690/TPO,"Application to undertake crown lift and other pruning of an Oak, identified as T14; and crown lift of 7 Lime trees, within G3 of the Doncaster Borough Council Tree Preservation Order (No.186) 1997 Convent Grove, Bessacarr.",2024-10-14,local-authority:DNC,,,,
24/01694/FUL,"Erection of extension to side and rear, following demolition of existing conservatory.",2024-10-17,local-authority:DNC,,,,
24/01695/FUL,Erection of single storey side extension.,2024-10-17,local-authority:DNC,,,,
24/01696/FUL,Erection of two storey rear extension following demolition of existing outbuilding,2024-10-16,local-authority:DNC,,,,
24/01698/FUL,Erection of two storey rear extension and alterations to windows and doors,2024-11-04,local-authority:DNC,,,,
24/01700/FUL,Change of use from business to residential,2024-11-12,local-authority:DNC,,,,
24/01701/LBC,Listed building consent to renovate the interior of the property as well as update the windows/door to modern standards in connection with change of use from business to residential,2024-11-26,local-authority:DNC,,,,
24/01707/FUL,"Retrospective application for the creation of a lightweight structure to form a paint spray booth attached to
the existing building (without compliance with condition 2 of planning application 24/01198/FUL granted on 10/09/2024 - replace the approved drawing with new ref: CD10496-01 rev C)


",2024-12-16,local-authority:DNC,,,,
24/01713/FUL,Erection of a two storey side extension following the demolition of the existing side extension.,2024-10-14,local-authority:DNC,,,,
24/01714/FUL,Erection of single storey side extension and porch to front. (being variation of condition 2 of planning application 23/00495/FUL; approved plans),2024-11-04,local-authority:DNC,,,,
24/01715/FUL,"Erection of a single storey extension to the rear and a cantilevered flat awning over the ground floor level rear door, following demolition of the existing conservatory.",2024-11-11,local-authority:DNC,,,,
24/01716/FUL,Erection of a single storey garage extension to side of existing property,2024-11-21,local-authority:DNC,,,,
24/01717/FUL,Erection of a 2 storey rear and side extension and ground floor rear extension,2024-11-04,local-authority:DNC,,,,
24/01718/FUL,Reconfiguration of the existing 9-bedroom (9 occupants) HMO's internal layout to create an 11-bedroom (11 occupants) HMO with ensuites and communal facilities.,2024-12-05,local-authority:DNC,,,,
24/01721/FUL,"Erection of ground floor rear and side extensions and detached garage, following the demolition of existing extension and garage. Removal of trees, partial repair of existing wall and erection of a 1.8m high screen fence on-site.",2024-12-10,local-authority:DNC,,,,
24/01722/FUL,"Erection of part two part single storey side extension, 2 storey rear extension and porch to the front.
",2024-11-01,local-authority:DNC,,,,
24/01723/FUL,Conversion of a 3 bedroom terrace house into 2no 1 bedroom flats,2024-11-07,local-authority:DNC,,,,
24/01724/COUM,"Change of use of existing building from Sui Generis to use for purposes within Class E, B2 and B8 use",2024-12-19,local-authority:DNC,,,,
24/01725/FUL,Erection of a two storey rear extension with Juliette balcony.,2024-10-21,local-authority:DNC,,,,
24/01727/FUL,Erection of an outbuilding to rear of property following demolition of existing garage,2024-10-16,local-authority:DNC,,,,
24/01728/FUL,"Erection of a part two, part single storey extension to rear",2024-11-14,local-authority:DNC,,,,
24/01730/ADV,Retention of existing building signage approved under 19/02597/ADV. Display of 2 no. individual lettering signs comprising of 'amazon' 10m (w) x 1.75 m (h) x 0.15m (d) together with acrylic amazon 'Smile' logo  5.7 m (w) x 1.3 m (h) x 0.15 m (d). 1no. separate acrylic amazon 'Smile' logo  5.7 m (w) x 1.3 m (h) x 0.15 m (d).,2024-10-18,local-authority:DNC,,,,
24/01732/FULM,Provision of an extra 163 car parking spaces within the existing distribution complex. (without compliance with condition 9 (Biodiversity Net Gain - on site) and 10 (BNG off site) of planning application 21/02348/FULM granted on 09/12/2021),2024-12-06,local-authority:DNC,,,,
24/01735/LBC,Listed Building Consent to replace all sash windows on the frontage of the building,2024-11-20,local-authority:DNC,,,,
24/01740/FUL,Erection of single storey rear extension. Installation of a dormer windows to rear elevation and formation of rooms in roof space (being variation of condition 2 of planning application 23/01862/FUL granted on 30/04/2024). Change of rear single storey roof from flat to pitched.,2024-11-26,local-authority:DNC,,,,
24/01741/FUL,Change of use from single dwelling to HMO (3-Bed),2024-10-17,local-authority:DNC,,,,
24/01742/FUL,Erection of a lean to barn including housing bio-mass boiler,2024-11-14,local-authority:DNC,,,,
24/01745/FUL,"Erection of first/second floor extensions. Erection of extension to porch to create a new front porch and an increase in roof height to the property, which includes a new roof.",2024-11-28,local-authority:DNC,,,,
24/01756/TPO,"Application to crown lift and remove dead/crossing branches on 5 Lime trees, identified as being within A1 of  Doncaster Borough Council Tree Preservation Order (No.265) 2003 Former Middle School, Top Road, Barnby Dun",2024-10-15,local-authority:DNC,,,,
24/01757/FUL,Erection of outbuilding with site boundary treatment (RETROSPECTIVE),2024-12-02,local-authority:DNC,,,,
24/01758/FUL,Erection of single storey side and rear extension following the demolition of existing garage.,2024-10-24,local-authority:DNC,,,,
24/01761/FUL,Siting of 3 new container buildings to replace the ones removed.,2024-12-17,local-authority:DNC,,,,
24/01762/TPO,"Application to undertake to crown lift a Sycamore and Sweet Chestnut over the highway and garden, and removal of deadwood as required, trees identified as being T275 and T276 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.
",2024-10-15,local-authority:DNC,,,,
24/01764/TPO,"Application to prune an Oak tree, identified as being T18, within and protected by  Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.
Reason for works is general maintanence, clearance of highway and building.",2024-10-15,local-authority:DNC,,,,
24/01768/FUL,AMEDNED PLANS: Erection of rear single storey extension to the garage to create ancillary living accommodation.,2024-11-18,local-authority:DNC,,,,
24/01780/FUL,"Erection of a single storey front extension with first floor dormer window addition, rear extensions and general reconfiguration of internal space.",2024-11-06,local-authority:DNC,,,,
24/01782/FUL,"Erection of two storey side/front extension following demolition of existing garage and outbuilding, extension of front porch and replacement of porch flat roof with pitched roof, and other external alterations (being variation of conditions 2 and 3 of planning application 23/01980/FUL granted on 21/12/2023; to change brick to render)",2024-11-08,local-authority:DNC,,,,
24/01783/FUL,Installation of external mezzanine roof access stairs to the side (west elevation) and external roof access ladder to the rear (south elevation) of the property and extension to the existing Latchways access system for maintenance purposes.,2024-11-26,local-authority:DNC,,,,
24/01784/FUL,"Change of use from retail shop (Class E) to 1 no. 1-bed residential flat (Class C3), with associated reconfiguration of external site layout (AMENDED SCHEME) (being variation of condition 2 and 3 of planning application 23/01407/FUL granted on 06/12/2023)(approved plans and matching materials - removal of shop front and rendering of property)",2024-11-04,local-authority:DNC,,,,
24/01785/FUL,"Erection of a larger single storey flat roof extension to the rear, following demolition of the existing rear extension.",2024-11-07,local-authority:DNC,,,,
24/01791/FUL,"Installation of a dropped kerb, install surfacing to replace front garden and removal of front wall to form new access.",2024-11-26,local-authority:DNC,,,,
24/01792/FUL,"Erection of two-storey side extension, ground floor rear extension and installation of first floor Juliet balcony to rear elevation following demolition of existing conservatory",2024-11-21,local-authority:DNC,,,,
24/01793/TPO,"Consent to fell Horse Chestnut (T1) and reduce canopy of a Norway Maple (T2) subject to group order (G4) and forms part of TPO DMBC/TPO/00112 - Doncaster Borough Council Tree Preservation Order (No.112) 1993 St. Catherine's Hospital Site, Balby.",2024-10-15,local-authority:DNC,,,,
24/01794/TPO,"Application to fell a Norway Maple, identified as being T256, within and protected by  Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr withCantley.
",2024-11-20,local-authority:DNC,,,,
24/01796/FUL,Erection of a single storey extension to the side.,2024-11-04,local-authority:DNC,,,,
24/01808/ADV,Display of a free standing D6 small format advertisement,2024-11-07,local-authority:DNC,,,,
24/01809/FUL,Erection of single storey extension to the side of the existing store.,2024-11-05,local-authority:DNC,,,,
24/01810/FUL,Erection of a single storey extension to the rear (RETROSPECTIVE).,2024-11-21,local-authority:DNC,,,,
24/01813/FUL,Installation of an Air Source Heat Pump to the rear of the property.,2024-11-06,local-authority:DNC,,,,
